Trace
Swept SA
A.14.62,N9000A
497732000,-82.182068206422
497737040,-81.5582519025075
497742080,-81.6530485890244
497747120,-81.6249447657631
497752160,-81.7202103160853
497757200,-81.4885285476762
497762240,-81.6601948770491
497767280,-82.3323405416755
497772320,-82.762170387257
497777360,-82.216803107595
497782400,-82.4489430026755
497787440,-82.3169101656848
497792480,-82.1373648804464
497797520,-81.9110606092594
497802560,-82.1185971169609
497807600,-82.1036282263083
497812640,-82.0193583562011
497817680,-81.6240072398679
497822720,-81.4856155063405
497827760,-81.7483723272659
497832800,-81.3186821465651
497837840,-81.6784245240783
497842880,-81.8324696694223
497847920,-82.0720570597752
497852960,-81.8977860579235
497858000,-82.2014304966046
497863040,-82.62878250159
497868080,-82.0561975921586
497873120,-81.6012254285856
497878160,-81.6079478950642
497883200,-82.3537068563436
497888240,-82.2269700085955
497893280,-82.7663849076574
497898320,-81.9983853158286
497903360,-82.0080591655547
497908400,-82.0516379425431
497913440,-82.2674879169818
497918480,-82.0728724843241
497923520,-82.597513052434
497928560,-82.5169232835442
497933600,-81.7739061876992
497938640,-82.4303688245539
497943680,-81.7588536931926
497948720,-82.0447462124954
497953760,-82.4570896659368
497958800,-81.9581499690117
497963840,-81.9868111698507
497968880,-81.5968396667174
497973920,-81.8482873325205
497978960,-82.2646035158173
497984000,-82.0705663344046
497989040,-82.4466459756428
497994080,-82.3258410039367
497999120,-81.9780922068825
498004160,-82.437509459732
498009200,-82.0165549184484
498014240,-81.8699654226994
498019280,-81.5110669993868
498024320,-82.5727496547542
498029360,-82.1935569410479
498034400,-82.0999676627274
498039440,-81.9015908056548
498044480,-81.9370031498841
498049520,-81.8461732763523
498054560,-81.6044517179505
498059600,-81.817160810924
498064640,-81.2360882314004
498069680,-82.2694739857059
498074720,-82.0878662644303
498079760,-82.046073623762
498084800,-82.2265391660875
498089840,-82.1298543310871
498094880,-82.2439951552324
498099920,-81.9889821983587
498104960,-81.4528405830177
498110000,-82.2825531607044
498115040,-82.2008237679247
498120080,-82.151261350408
498125120,-82.0940449881387
498130160,-82.1217829373161
498135200,-81.8073247587809
498140240,-81.3868839828297
498145280,-81.4098997870153
498150320,-81.9046498795363
498155360,-82.2188089349548
498160400,-82.2900071164732
498165440,-81.4253239012593
498170480,-81.6722944284114
498175520,-81.6051009975252
498180560,-81.3143370324356
498185600,-82.0275962470014
498190640,-82.1481552739069
498195680,-82.3210650879431
498200720,-81.4790891196283
498205760,-81.3280191692076
498210800,-82.2789374569074
498215840,-82.426857530184
498220880,-82.1508155591484
498225920,-81.6845589515446
498230960,-81.7252267252309
498236000,-82.0322901455077
498241040,-82.3861278205263
498246080,-82.1026381513985
498251120,-81.7227595822446
498256160,-81.7355384737259
498261200,-81.9831510338888
498266240,-81.8182239347197
498271280,-81.8595114126464
498276320,-82.7165036916978
498281360,-82.2784516868668
498286400,-81.7492011035801
498291440,-81.2282133472769
498296480,-81.3779448286054
498301520,-82.2852217662149
498306560,-82.4678717829531
498311600,-82.301553819572
498316640,-82.2111264606207
498321680,-82.1009863646984
498326720,-82.0337205341361
498331760,-82.1137787878429
498336800,-81.6906091779492
498341840,-81.9919162910206
498346880,-82.099061179021
498351920,-82.2659163091735
498356960,-82.3679827636226
498362000,-81.6754666416607
498367040,-81.5870878603696
498372080,-81.4873087480823
498377120,-81.9212989926252
498382160,-82.1061333037676
498387200,-81.5892284735758
498392240,-81.6514391186716
498397280,-81.8634633655931
498402320,-82.1169423939094
498407360,-82.3036036641793
498412400,-81.2498385635321
498417440,-81.4655776061828
498422480,-81.7249429668539
498427520,-82.1542586962334
498432560,-82.3787823799938
498437600,-81.8720263456015
498442640,-81.8368667050709
498447680,-81.7263057838853
498452720,-82.5019043625148
498457760,-82.4475139041999
498462800,-82.259117192772
498467840,-82.5080791672563
498472880,-82.0298832874799
498477920,-81.4867266415204
498482960,-82.1143579569893
498488000,-82.0198012006869
498493040,-82.1446201091928
498498080,-81.888464056873
498503120,-81.8724910296422
498508160,-81.6050874815826
498513200,-81.6552368150349
498518240,-81.6145975084475
498523280,-82.1152110411916
498528320,-81.3036239867241
498533360,-81.6327803696497
498538400,-81.7038429023693
498543440,-81.4757913940147
498548480,-82.0873090457134
498553520,-82.6852909306746
498558560,-81.7529365712891
