Trace
Swept SA
A.14.62,N9000A
490980000,-86.410632509931
491000000,-86.5589336802543
491020000,-87.6252194846168
491040000,-86.7645990473852
491060000,-87.0683523197623
491080000,-86.9301097439089
491100000,-86.754225808092
491120000,-86.5938974617968
491140000,-86.2583077763439
491160000,-86.2457395292396
491180000,-86.2582224843875
491200000,-86.4022259935721
491220000,-86.3097046162807
491240000,-86.5147006907193
491260000,-86.611592781839
491280000,-87.0794701724819
491300000,-86.9469765095686
491320000,-86.703164049624
491340000,-86.7053316560184
491360000,-86.8183555974449
491380000,-87.4217897105692
491400000,-86.798106260691
491420000,-85.6536235107257
491440000,-86.0880151020505
491460000,-86.1755359724571
491480000,-86.7526285731323
491500000,-86.2994993211296
491520000,-87.0427410570625
491540000,-86.0810311079228
491560000,-86.8171394229436
491580000,-86.6489166459984
491600000,-85.8692388612874
491620000,-86.6569508099465
491640000,-86.1097570811127
491660000,-86.1386025611515
491680000,-86.7914872536057
491700000,-86.7442369146509
491720000,-86.7191762551544
491740000,-86.4243831401809
491760000,-86.8487957022993
491780000,-86.4070639271692
491800000,-86.8209538519893
491820000,-86.4919344717099
491840000,-86.563126912255
491860000,-86.5602677768948
491880000,-86.5983355683802
491900000,-86.2883270730348
491920000,-87.2060438303138
491940000,-86.7662125991103
491960000,-86.5716127947993
491980000,-86.5480193797227
492000000,-86.3448377799648
492020000,-86.3845594600074
492040000,-86.2336221904344
492060000,-86.8661428824957
492080000,-86.778572842739
492100000,-86.6221672382434
492120000,-86.2644155460805
492140000,-86.0139728591978
492160000,-86.9030620016531
492180000,-86.522707147579
492200000,-87.0390429194942
492220000,-85.8304072618416
492240000,-86.9259609051616
492260000,-86.8563930946257
492280000,-86.3105632900062
492300000,-86.6981743450936
492320000,-87.3056115911125
492340000,-85.9045507497697
492360000,-86.7356991670063
492380000,-86.2393892048539
492400000,-86.712844418011
492420000,-86.8653672736545
492440000,-86.8953175466887
492460000,-86.7824111926083
492480000,-86.9680709659733
492500000,-86.2011407746715
492520000,-87.1821045049034
492540000,-86.2284981176614
492560000,-86.0400960680886
492580000,-86.7887376138619
492600000,-86.5574062951472
492620000,-87.1967067532203
492640000,-86.2151342893715
492660000,-86.5390053461111
492680000,-86.7576473935061
492700000,-86.0412456762288
492720000,-85.7953362226819
492740000,-85.8573776179072
492760000,-86.3975418364527
492780000,-86.3914296979819
492800000,-86.5334836819712
492820000,-86.0877472710245
492840000,-86.2914208078521
492860000,-86.4910344793073
492880000,-86.9456604076597
492900000,-87.6279804673273
492920000,-86.45867088602
492940000,-86.9235577110114
492960000,-86.2054051127731
492980000,-86.7290353814055
493000000,-86.831654237868
493020000,-86.6721287247212
493040000,-86.5319144240557
493060000,-86.6540637099434
493080000,-87.4673978855104
493100000,-86.4537207599806
493120000,-86.4686582409991
493140000,-86.2795799662806
493160000,-86.5608734751782
493180000,-86.7514059423689
493200000,-86.063357256645
493220000,-86.5149456237326
493240000,-87.1111512838101
493260000,-87.5445281337342
493280000,-86.1254962862451
493300000,-85.9941000107186
493320000,-86.7370700607211
493340000,-86.3661254978179
493360000,-86.2104617748609
493380000,-85.8275563549737
493400000,-86.4560373597987
493420000,-86.1049214730988
493440000,-86.6314991383345
493460000,-86.7361612924874
493480000,-86.7258182206864
493500000,-86.0882438927346
493520000,-86.8413516106306
493540000,-86.741729925689
493560000,-86.2938131930443
493580000,-85.9155154601614
493600000,-86.4590630316228
493620000,-85.7182254045544
493640000,-86.18193666323
493660000,-87.0551271128679
493680000,-86.8750072211892
493700000,-87.1575439641963
493720000,-87.1075628385007
493740000,-86.5797889810396
493760000,-86.8188311981892
493780000,-86.3729419408181
493800000,-86.4512588726799
493820000,-86.662811955704
493840000,-87.1924177153335
493860000,-86.2434260457686
493880000,-85.9409653074551
493900000,-86.3860798990577
493920000,-87.0932783544443
493940000,-86.3837413926087
493960000,-86.4831223913103
493980000,-86.495154469396
494000000,-86.7250867458082
494020000,-86.3697911473866
494040000,-86.4799899914938
494060000,-86.9798842453353
494080000,-85.9190480208713
494100000,-86.6226790250022
494120000,-86.5019888176264
494140000,-86.2682915520778
494160000,-85.9948204648722
494180000,-86.7578711709083
494200000,-86.3623511552123
494220000,-86.1734737489607
494240000,-86.4600903432025
494260000,-86.6534740014669
